"Zaman damgası","Cinsiyetiniz","Bölümünüz"," [Kız/Erkek arkadaşımın  sosyal medya kullanımı onun hakkındaki fikirlerimi etkiler.]"," [Kız/Erkek arkadaşım telefonumu istediği gibi kurcalayabilir.]"," [İlk buluşmada hesap ortak olarak ödenmeli.]"," [Kız/Erkek arkadaşım ben olmadan gece eğlenmeye çıkabilir.]"," [Kız/Erkek arkadaşım giyimime karışabilir.]"," [Kız/Erkek arkadaşımın karşı cinsten yakın arkadaşı olabilir.]"," [Kız/Erkek arkadaşımın önceki ilişkileri benim için önemsizdir.]","Kız/Erkek arkadaşı seçiminde hangi faktör sizin için en önemlisidir?","Kız/Erkek arkadaşı seçiminde hangi özellikleri önemsiyorsunuz?","Kız/Erkek ilişkilerinde başarının anahtarı sizce nedir?","Kaç tane romantik ilişkiniz oldu.","En uzun ilişkiniz ne kadar sürdü? (ay)","Kız / Erkek arkadaşınızla bir ayda yaklaşık kaç gün görüşüyorsunuz?"
"2023/05/11 2:06:45 ÖS GMT+3","Kadın","Kimya","3","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Yalan söylememesi","Karşılıklı sevgi ve anlayış","7","30","27"
"2023/05/11 2:08:26 ÖS GMT+3","Kadın","Kimya","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","3","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","Kişinin karakteri ve kişilik özellikleri","Empati yapabilmesi","İletişim becerileri","3","28","6"
"2023/05/11 2:08:52 ÖS GMT+3","Erkek","Kimya","5 (Kesinlikle Katılıyorum)","4","5 (Kesinlikle Katılıyorum)","4","3","5 (Kesinlikle Katılıyorum)","2","Kişinin karakteri ve kişilik özellikleri","Empati yapabilmesi","İletişim becerileri","8","17","15"
"2023/05/11 2:12:46 ÖS GMT+3","Kadın","Kimya","3","3","4","4","2","4","2","Kişinin karakteri ve kişilik özellikleri","Empati yapabilmesi","Karşılıklı sevgi ve anlayış","4","24","9"
"2023/05/11 2:32:49 ÖS GMT+3","Kadın","Kimya","4","3","3","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","4","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","İletişim becerileri","6","87","12"
"2023/05/11 3:24:10 ÖS GMT+3","Kadın","Kimya","4","2","4","3","1 (Kesinlikle Katılmıyorum)","4","4","Kişinin karakteri ve kişilik özellikleri","Empati yapabilmesi","İletişim becerileri","1","56","15"
"2023/05/11 3:26:47 ÖS GMT+3","Kadın","Kimya","4","4","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","2","3","1 (Kesinlikle Katılmıyorum)","Kişinin maddi ve ekonomik durumu","Yalan söylememesi","Karşılıklı sevgi ve anlayış","2","11","2"
"2023/05/11 3:32:20 ÖS GMT+3","Kadın","Kimya","3","5 (Kesinlikle Katılıyorum)","3","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","Kişinin maddi ve ekonomik durumu","İyi bir dinleyici olması","Karşılıklı sevgi ve anlayış","2","36","10"
"2023/05/11 3:43:37 ÖS GMT+3","Kadın","Kimya","3","2","3","2","2","2","3","Kişinin karakteri ve kişilik özellikleri","Empati yapabilmesi","İletişim becerileri","1","14","8"
"2023/05/11 3:55:21 ÖS GMT+3","Kadın","Kimya","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Yalan söylememesi","İletişim becerileri","0","0","0"
"2023/05/11 4:42:20 ÖS GMT+3","Kadın","Kimya","4","2","5 (Kesinlikle Katılıyorum)","4","1 (Kesinlikle Katılmıyorum)","3","3","Kişinin karakteri ve kişilik özellikleri","Yalan söylememesi","İletişim becerileri","3","18 ","28"
"2023/05/11 5:18:13 ÖS GMT+3","Kadın","Kimya","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","Kişinin karakteri ve kişilik özellikleri","Mizah duygusunun olması","Karşılıklı sevgi ve anlayış","1","15","10"
"2023/05/11 7:41:58 ÖS GMT+3","Kadın","Kimya","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","3","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","3","Kişinin karakteri ve kişilik özellikleri","Mizah duygusunun olması","Karşılıklı sevgi ve anlayış","1","84","8"
